Date;CompanyCode;CompanyName;Country;Operation;Sessions;UniqueUsers;DateRange
2026-07-08 00:00:00.000;TELESPAZIO;TELESPAZIO;United Kingdom;Lyra Health International Ltd;1;1;2026-07-01 - 2026-07-31
2026-07-08 00:00:00.000;TETRAPAK;Tetrapak;Netherlands;Lyra Health International Ltd;1;1;2026-07-01 - 2026-07-31
2026-07-09 00:00:00.000;ABPIE;ABP - Ireland;Ireland;Lyra UK & Ireland Ltd;2;1;2026-07-01 - 2026-07-31
2026-07-09 00:00:00.000;BENCHMARK;Benchmark Holdings;Belgium;Lyra Health International Ltd;1;1;2026-07-01 - 2026-07-31
2026-07-09 00:00:00.000;CGI;CGI;Canada;Lyra Health International Ltd;1;1;2026-07-01 - 2026-07-31
2026-07-09 00:00:00.000;ICASSATEST;ICAS South Africa (Test Preview);United Kingdom;Lyra Southern Africa Pty Ltd;1;1;2026-07-01 - 2026-07-31
2026-07-09 00:00:00.000;ICASTESTCS;ICAS Client Services (Test Preview);Indonesia;Lyra Health International Ltd;1;1;2026-07-01 - 2026-07-31
2026-07-09 00:00:00.000;ICASTESTCS;ICAS Client Services (Test Preview);Malaysia;Lyra Health International Ltd;1;1;2026-07-01 - 2026-07-31
2026-07-09 00:00:00.000;ICASTESTCS;ICAS Client Services (Test Preview);United States;Lyra Health International Ltd;2;2;2026-07-01 - 2026-07-31
2026-07-09 00:00:00.000;MCBRIDE;McBride;Luxembourg;Lyra Health International Ltd;1;1;2026-07-01 - 2026-07-31
2026-07-09 00:00:00.000;NEWMONT;Newmont;United States;Lyra Health International Ltd;1;1;2026-07-01 - 2026-07-31
2026-07-09 00:00:00.000;PROQRNL;ProQR;Netherlands;Lyra Netherlands BV;1;1;2026-07-01 - 2026-07-31
2026-07-09 00:00:00.000;RSGROUP;RS Group PLC;United Kingdom;Lyra Health International Ltd;1;1;2026-07-01 - 2026-07-31
2026-07-09 00:00:00.000;SAP;SAP;Germany;Lyra Health International Ltd;1;1;2026-07-01 - 2026-07-31
2026-07-09 00:00:00.000;Unmapped;Unmapped;United Kingdom;Unmapped;3;2;2026-07-01 - 2026-07-31
2026-07-10 00:00:00.000;ICASSATEST;ICAS South Africa (Test Preview);United Kingdom;Lyra Southern Africa Pty Ltd;3;1;2026-07-01 - 2026-07-31
2026-07-10 00:00:00.000;ICASTESTCS;ICAS Client Services (Test Preview);South Africa;Lyra Health International Ltd;1;1;2026-07-01 - 2026-07-31
2026-07-10 00:00:00.000;ICASTESTCS;ICAS Client Services (Test Preview);United Kingdom;Lyra Health International Ltd;2;1;2026-07-01 - 2026-07-31
2026-07-10 00:00:00.000;ICASTESTCS;ICAS Client Services (Test Preview);United States;Lyra Health International Ltd;1;1;2026-07-01 - 2026-07-31
2026-07-10 00:00:00.000;LYRAOPSTEST;Lyra Clinical Ops;United Kingdom;Lyra Health International Ltd;1;1;2026-07-01 - 2026-07-31
2026-07-10 00:00:00.000;MCBRIDE;McBride;United Kingdom;Lyra Health International Ltd;1;1;2026-07-01 - 2026-07-31
2026-07-10 00:00:00.000;Unmapped;Unmapped;South Africa;Unmapped;1;1;2026-07-01 - 2026-07-31
2026-07-13 00:00:00.000;ADV;ABP - Advanced Proteins;United Kingdom;Lyra UK & Ireland Ltd;1;1;2026-07-01 - 2026-07-31
2026-07-13 00:00:00.000;ICASSATEST;ICAS South Africa (Test Preview);South Africa;Lyra Southern Africa Pty Ltd;1;1;2026-07-01 - 2026-07-31
2026-07-13 00:00:00.000;ICASSATEST;ICAS South Africa (Test Preview);United Kingdom;Lyra Southern Africa Pty Ltd;2;1;2026-07-01 - 2026-07-31
2026-07-13 00:00:00.000;ICASTESTCS;ICAS Client Services (Test Preview);South Africa;Lyra Health International Ltd;2;2;2026-07-01 - 2026-07-31
2026-07-13 00:00:00.000;IDHPRODTEST;IDH Prod Test Company;United States;Lyra Health International Ltd;1;1;2026-07-01 - 2026-07-31
2026-07-13 00:00:00.000;IRA001;IRANTI NPC;South Africa;Lyra Southern Africa Pty Ltd;1;1;2026-07-01 - 2026-07-31
2026-07-13 00:00:00.000;RSGROUP;RS Group PLC;United Kingdom;Lyra Health International Ltd;1;1;2026-07-01 - 2026-07-31
2026-07-13 00:00:00.000;SBDHUB22;Stanley Black & Decker;Mexico;Lyra Health International Ltd;1;1;2026-07-01 - 2026-07-31
2026-07-13 00:00:00.000;VTTIHEALTH;VTTI;Netherlands;Lyra Health International Ltd;2;1;2026-07-01 - 2026-07-31
2026-07-14 00:00:00.000;ASAHI;ASAHI;Italy;Lyra Health International Ltd;1;1;2026-07-01 - 2026-07-31
2026-07-14 00:00:00.000;FERRERO;Ferrero;United States;Lyra Health International Ltd;1;1;2026-07-01 - 2026-07-31
2026-07-14 00:00:00.000;ICASSATEST;ICAS South Africa (Test Preview);United Kingdom;Lyra Southern Africa Pty Ltd;1;1;2026-07-01 - 2026-07-31
2026-07-14 00:00:00.000;ICASTESTCS;ICAS Client Services (Test Preview);South Africa;Lyra Health International Ltd;3;3;2026-07-01 - 2026-07-31
2026-07-14 00:00:00.000;IDHPRODTEST;IDH Prod Test Company;United States;Lyra Health International Ltd;2;1;2026-07-01 - 2026-07-31
2026-07-14 00:00:00.000;MCBRIDE;McBride;United Kingdom;Lyra Health International Ltd;1;1;2026-07-01 - 2026-07-31
2026-07-14 00:00:00.000;RSGROUP;RS Group PLC;South Africa;Lyra Health International Ltd;1;1;2026-07-01 - 2026-07-31
2026-07-14 00:00:00.000;SAP;SAP;Australia;Lyra Health International Ltd;1;1;2026-07-01 - 2026-07-31
2026-07-14 00:00:00.000;Unmapped;Unmapped;South Africa;Unmapped;1;1;2026-07-01 - 2026-07-31
2026-07-15 00:00:00.000;ICASSATEST;ICAS South Africa (Test Preview);United Kingdom;Lyra Southern Africa Pty Ltd;2;1;2026-07-01 - 2026-07-31
2026-07-15 00:00:00.000;ICASTESTCS;ICAS Client Services (Test Preview);South Africa;Lyra Health International Ltd;1;1;2026-07-01 - 2026-07-31
2026-07-15 00:00:00.000;ICASTESTCS;ICAS Client Services (Test Preview);United Kingdom;Lyra Health International Ltd;2;1;2026-07-01 - 2026-07-31
2026-07-15 00:00:00.000;ICASTESTCS;ICAS Client Services (Test Preview);United States;Lyra Health International Ltd;1;1;2026-07-01 - 2026-07-31
2026-07-15 00:00:00.000;IDHPRODTEST;IDH Prod Test Company;United States;Lyra Health International Ltd;1;1;2026-07-01 - 2026-07-31
2026-07-15 00:00:00.000;JABIL;Jabil;United Kingdom;Lyra Health International Ltd;1;1;2026-07-01 - 2026-07-31
2026-07-15 00:00:00.000;RANK;Rank Leisure;Malta;Lyra Health International Ltd;1;1;2026-07-01 - 2026-07-31
2026-07-15 00:00:00.000;RELX;RELX;Philippines;Lyra Health International Ltd;1;1;2026-07-01 - 2026-07-31
2026-07-15 00:00:00.000;RSGROUP;RS Group PLC;South Africa;Lyra Health International Ltd;1;1;2026-07-01 - 2026-07-31
2026-07-15 00:00:00.000;TETRAPAK;Tetrapak;Netherlands;Lyra Health International Ltd;1;1;2026-07-01 - 2026-07-31
2026-07-15 00:00:00.000;Unmapped;Unmapped;United Kingdom;Unmapped;1;1;2026-07-01 - 2026-07-31
2026-07-15 00:00:00.000;VOd001;Unmapped;South Africa;Unmapped;1;1;2026-07-01 - 2026-07-31
2026-07-15 00:00:00.000;ZOETIS;Zoetis;Ireland;Lyra Health International Ltd;1;1;2026-07-01 - 2026-07-31
2026-07-16 00:00:00.000;BLACKSWAN;Black Swan;Hungary;Lyra Health Hungary Kft;1;1;2026-07-01 - 2026-07-31
2026-07-16 00:00:00.000;ICASSATEST;ICAS South Africa (Test Preview);United Kingdom;Lyra Southern Africa Pty Ltd;1;1;2026-07-01 - 2026-07-31
2026-07-16 00:00:00.000;ICASTESTCS;ICAS Client Services (Test Preview);South Africa;Lyra Health International Ltd;1;1;2026-07-01 - 2026-07-31
2026-07-16 00:00:00.000;ICASTESTCS;ICAS Client Services (Test Preview);United Kingdom;Lyra Health International Ltd;2;1;2026-07-01 - 2026-07-31
2026-07-16 00:00:00.000;QBE;QBE Insurance;Sweden;Lyra Health International Ltd;1;1;2026-07-01 - 2026-07-31
2026-07-16 00:00:00.000;VOd001;Unmapped;South Africa;Unmapped;1;1;2026-07-01 - 2026-07-31
2026-07-17 00:00:00.000;ICASSATEST;ICAS South Africa (Test Preview);United Kingdom;Lyra Southern Africa Pty Ltd;2;1;2026-07-01 - 2026-07-31
2026-07-17 00:00:00.000;ICASTESTCS;ICAS Client Services (Test Preview);South Africa;Lyra Health International Ltd;1;1;2026-07-01 - 2026-07-31
2026-07-17 00:00:00.000;ICASTESTCS;ICAS Client Services (Test Preview);United Kingdom;Lyra Health International Ltd;1;1;2026-07-01 - 2026-07-31
2026-07-17 00:00:00.000;ICASTESTCS;ICAS Client Services (Test Preview);United States;Lyra Health International Ltd;1;1;2026-07-01 - 2026-07-31
2026-07-17 00:00:00.000;VOd001;Unmapped;South Africa;Unmapped;1;1;2026-07-01 - 2026-07-31
2026-07-20 00:00:00.000;EASYJETHUB22;easyJet;United Kingdom;Lyra Health International Ltd;1;1;2026-07-01 - 2026-07-31
