MonthDate;CompanyCode;CompanyName;Country;Operation;EventType;SearchTerm;DeviceCategory;ContentType;ContentTitle;DownloadLanguage;Theme;Route;UniqueUsers;DateRange
2026-07-01 00:00:00.000;BRIDGESTONE;Bridgestone;Belgium;Lyra Health International Ltd;download;-;Desktop;Infosheet;How to Prioritize When Everything Feels Urgent;en;;Search;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;BRIDGESTONE;Bridgestone;Belgium;Lyra Health International Ltd;download;-;Desktop;Infosheet;Staying Grounded During Life Changes;en;;Search;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;BRIDGESTONE;Bridgestone;Belgium;Lyra Health International Ltd;download;-;Desktop;Video;Box Breathing for Stressful Moments;en;;DirectEntry;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;BRIDGESTONE;Bridgestone;Belgium;Lyra Health International Ltd;search;n/a;Desktop;-;-;-;;;2;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;BRIDGESTONE;Bridgestone;Belgium;Lyra Health International Ltd;search;breathing;Desktop;-;-;-;;;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;BRIDGESTONE;Bridgestone;Belgium;Lyra Health International Ltd;search;urgent;Desktop;-;-;-;;;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;BRIDGESTONE;Bridgestone;Belgium;Lyra Health International Ltd;search;box;Desktop;-;-;-;;;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;BRIDGESTONE;Bridgestone;Belgium;Lyra Health International Ltd;search;grounded;Desktop;-;-;-;;;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;BRIDGESTONE;Bridgestone;Belgium;Lyra Health International Ltd;view;-;Desktop;Infosheet;How to Prioritize When Everything Feels Urgent;-;Prioritization,Change;Search;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;BRIDGESTONE;Bridgestone;Belgium;Lyra Health International Ltd;view;-;Desktop;Infosheet;Staying Grounded During Life Changes;-;Mental wellbeing,Grounding,Change;Search;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;BRIDGESTONE;Bridgestone;Belgium;Lyra Health International Ltd;view;-;Desktop;Video;Box Breathing for Stressful Moments;-;Stress;DirectEntry;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;CGI;CGI;Canada;Lyra Health International Ltd;search;n/a;Desktop;-;-;-;;;2;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;CGI;CGI;Canada;Lyra Health International Ltd;view;-;Desktop;Infosheet;Understanding and Preventing Absenteeism;-;Absenteeism;Search;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;CGI;CGI;Canada;Lyra Health International Ltd;view;-;Desktop;Infosheet;What Is Your EAP?;-;Mental wellbeing,Healthy workplace,Lyra Wellbeing Services;Search;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;CGI;CGI;Canada;Lyra Health International Ltd;view;-;Desktop;Infosheet;How to Prioritize When Everything Feels Urgent;-;Prioritization,Change;home;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;COATS;Coats Group;France;Lyra Health International Ltd;view;-;Desktop;Infosheet;Staying Grounded During Life Changes;-;Mental wellbeing,Grounding,Change;News;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;CORTEVA;Corteva;Poland;Lyra Health International Ltd;download;-;Desktop;Infosheet;How to Prioritize When Everything Feels Urgent;en;;home;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;CORTEVA;Corteva;Poland;Lyra Health International Ltd;download;-;Desktop;Infosheet;Staying Grounded During Life Changes;en;;home;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;CORTEVA;Corteva;Poland;Lyra Health International Ltd;search;n/a;Desktop;-;-;-;;;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;CORTEVA;Corteva;Poland;Lyra Health International Ltd;view;-;Desktop;Infosheet;How to Prioritize When Everything Feels Urgent;-;Prioritization,Change;home;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;CORTEVA;Corteva;Poland;Lyra Health International Ltd;view;-;Desktop;Infosheet;Staying Grounded During Life Changes;-;Mental wellbeing,Grounding,Change;home;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;CTE001;Cirtech Electronics (Pty) Ltd;South Africa;Lyra Southern Africa Pty Ltd;download;-;Desktop;undefined;Staying Grounded During Life Changes;en;;home;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;CTE001;Cirtech Electronics (Pty) Ltd;South Africa;Lyra Southern Africa Pty Ltd;download;-;Desktop;undefined;How to Prioritize When Everything Feels Urgent;en;;home;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;CXP001;Cathay Pacific;Canada;Lyra Health International Ltd;download;-;Desktop;Infosheet;5 Ways to Manage Overstimulation;en;;Search;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;CXP001;Cathay Pacific;Canada;Lyra Health International Ltd;download;-;Desktop;Infosheet;Setting Healthy Boundaries in the Workplace;en;;Search;1;2026-07-01 - 2026-07-31
